user_id	review_count
1iIebpwPVifig9Xi0EI8Dg  4
3GKe3Nscq7Jtrt4xUbf_XA  5
4E8--zUZO1Rr1IBK4_83fg  11
4W9XxyGSHXUlAIfJ2ySBIQ  11
4gcu8tVb5ZbXj0AP6ZunOg  2
58guXrSqpOxnKoeuTxLdag  31
6bHVsO48Xi97pUwduNMoaw  3
8wxTBgvIkCgEZrNfTc1eWQ  4
9kdlTEgDlIjoR1fmTzwI5w  1
9n2IwcyI3CNxvs1OrKHphA  2
AUeeFb-1kN-ssfb39FJIBA  4
B-ruI5C0gr2EJUt44cWX0A  2
B46q0uJGiuzTtcYXknkgcQ  83
EPvYURBSmAevAWLj47F-4w  3
GMGZsk1dj043UI3zWgo3cw  0
H54pA7YHfjl8IjhHAfdXJA  3
HQpUPfZOZseRKl2gLol23w  1
JJ-aSuM4pCFPdkfoZ34q0Q  10
JaTVvKsBl0bHHJEpESn4pQ  2
Jbd0A9CTTTzEMvKbZ1BGjw  1
KWmiBNDFVSvWmU9i0lrlog  1
L58r9owAlbtELcyFHOZ-jA  1
LLb4Y_gVVtE38ymLy9gC7g  2
LdqGHXsNQowMrvgTNburJA  1
MQkIMPVmgCoC26Nn5LdkHw  6
Mmv5fPxbF8XEMN4EPT_Khg  2
N0Erq1dB7iXtkBdKrtArdQ  1
NJhhRGV7jvt2a4JApVw9EA  2
NNUCy-mWCYCROLs1wJRmCQ  13
O1DNr2HNo5yiyfQKZ7HRBg  1
OZKh_VLIhh_tL5r3Lr-EtA  1
OaKaMTSVSqU0TZY9Rpbd-w  1
Ob-2oGBQ7rwwYwUvhmnf7g  9
PASVfluTGQC5vpjdl-jinw  1
QP0vGv2H8h30ijlI-EkMGg  1
QRKFdoxJSXbN4Ui1a2wttQ  2
R_jGXfWM2OT1cCVTMMH-jw  8
RetgmtjEJrWQeTjLYo46MQ  1
TsgBsn19Wjwpyo81gF9_8Q  4
Uai3Mn-Ro7LwIKJrEdONuw  6
V--GjQPlTpeWbcB2cS06Gw  2
W5GkZO-8n7qrr-Ws5nEL-w  7
W5mJGs-dcDWRGEhAzUYtoA  3
WQxXdek5tWFZSPg_GKn1FQ  2
WRae-wZkpRoxMrgJdqwyxg  1
XyGCnY05-v_lNCxoiT1y5g  4
Ykj0DVsz0c6rX9ghjd0hDg  1
_6Xh4h2EOxAZqzsTsJ_4OA  1
_P215TQRt2RlnoN9jLGygg  9
_nJ2WdJRAL4toJ24dag_Kw  2
_t6M1XM-4L9XAJ5GBs9Wpw  1
a_gKYQ5YMg39FHNYJLWRHg  1
akFg3cvYqbihkdYUIjTauQ  2
aw973Pm1nrTbRjP4zY9B9g  762
bOJZW_hvGkVEIQVwhyqSuw  2
bZkZgll3Fii18x3WRtB5Lg  62
bsRNTZ1osSKjuGpHBwX2Pw  1
c7NwhrSXaWqnIRdIByWyAA  1
dGa8T4NqzHCsZhMiYOGktw  1
ddhNJ-nbjwjHoSth6qXJ8g  2
eMBV7FugCJq7FIvGhARo2Q  1
fV8Yr0c5tFQTQ2SRRJHXHw  50
g3PvxqzdJlaZ-ob7K8sC7g  2
gb8PYSCKlvPbMWnqIWXmlQ  4
gkMSWgpoBcc96JqhMFbKJg  19
h5ERTYn2vQ1QbjTZvfWPaA  3
h5_D5TlEN4bREoy3vR-Vxw  1
hAZCoaV9rIgJKi0dFiyHlg  1
hQMrvOgSxwq56kD9HhStWw  1
hic9wcuQuqa3yXdf34qfbg  6
hpG8FtZgiroAk45t0iGIoA  2
ioGZM2EjWbtd8vt__ZHicg  2
jPbLyRJWygYEbA-FWMx3Gw  5
jYnkJR3T8yCERXywoVhWYA  48
kB2D-z4sHyRsxtim3Qb0mA  7
kfsHOIsLk2aBj1yHYItx6g  1
kmyEPfKnHQJdTceCdoyMQg  7
mBneaEEH5EMyxaVyqS-72A  6
mWeIs5leEHuM2m6uHET32w  1
moJE85Sfg7Itd3-iIvduQQ  1
nBDJyPdJ-wn41skUV2QrhQ  1
oMT1lSrACglwgFPDBYEIuA  54
oupWLi314sl4YbQZp6uLKQ  4
ow0ZvXgmJgBIc2dgduTtDQ  1
pE08CrioZMP7bhmzgZkDGw  6
pzpbr9mlagHhDRdin8DvPQ  31
qWMB7hzUHO8Bln1rnRhaMw  3
rH53dcL7YKjbztjyA45n0A  1
sz8Heh56kO_6_LBkoIhNfA  4
t27CQ2vYWbrQTsgJrnNYFw  7
tMNryVdaICS7Vpm5ThNKIA  13
tkqAUCre66jVB9BbTsZPDA  4
tmi5enLbYFDJCkbfsj7HOA  1
u1JFZVeEXBPgEojjy_sI_A  3
uUzsFQn_6cXDh6rPNGbIFA  1
uoNm7vaHUs8PrxGYO5NCGA  8
vA4LM76VgKuw7IzEBdyecg  1
y35YADguSrDMGNMZK6r5MQ  1
y3ONpOBwpnXb57QNlWUhWQ  1
zfDcvo9F7d9fAA_hWcBC5Q  7
